"CPUBID_XRND","MPUBID_XRND","CRACE_XRND","CSEX_XRND","CYRB_XRND","BPI2014_2014","DIGIT2014_2014","COGNP2014_2014","MATH2014_2014","RECOG2014_2014","COMP2014_2014","PPVT2014_2014"
750305,7503,2,2,2007,20,13,97,37,40,34,NA
752702,7527,2,2,2000,0,NA,77,55,62,49,NA
758502,7585,1,2,2001,30,NA,NA,NA,NA,NA,NA
769504,7695,2,1,2001,40,NA,42,53,72,68,NA
782803,7828,1,1,2003,90,NA,42,55,69,58,NA
782804,7828,1,1,2005,120,11,42,40,37,44,93
783504,7835,2,2,2000,40,NA,0,47,65,49,NA
786405,7864,1,2,2006,140,10,0,46,60,48,NA
799703,7997,1,2,2001,70,NA,77,76,81,64,NA
802004,8020,1,2,2000,0,NA,NA,NA,NA,NA,NA
803303,8033,2,2,2000,0,NA,61,69,79,60,NA
803404,8034,2,1,2000,0,NA,61,73,83,54,NA
816102,8161,1,2,2001,50,NA,42,42,64,49,NA
817407,8174,1,2,2000,50,NA,5,74,77,67,NA
820801,8208,2,1,2001,50,NA,NA,NA,NA,NA,NA
821302,8213,1,2,2000,0,NA,42,63,80,56,NA
822701,8227,1,1,2001,0,NA,77,81,68,73,NA
826906,8269,1,1,2001,60,NA,1,43,56,47,NA
828906,8289,2,2,2000,120,NA,12,48,51,48,NA
829606,8296,1,2,2004,30,7,0,42,76,44,107
830908,8309,1,1,2000,60,NA,0,50,62,53,NA
840502,8405,1,1,2000,20,NA,12,58,73,55,NA
842205,8422,2,1,2005,170,11,12,31,53,24,74
848202,8482,2,1,2001,20,NA,77,54,60,52,NA
851104,8511,2,2,2001,80,NA,90,50,60,50,130
892503,8925,1,1,2000,90,NA,37,74,75,79,NA
893101,8931,1,2,2002,84,NA,42,50,48,51,NA
894206,8942,1,2,2001,0,NA,NA,NA,NA,NA,NA
896905,8969,1,1,2001,80,NA,NA,NA,NA,NA,NA
897403,8974,2,1,2000,30,NA,61,63,76,58,NA
897404,8974,2,1,2004,20,17,42,56,59,47,93
897704,8977,2,2,2002,20,NA,61,56,69,64,NA
919902,9199,2,2,2000,0,NA,90,48,60,53,NA
921901,9219,2,1,2000,0,NA,NA,NA,NA,NA,NA
922903,9229,1,1,2002,130,NA,61,51,48,51,NA
930806,9308,2,1,2002,40,NA,90,50,39,46,NA
930807,9308,2,1,2002,40,NA,90,45,59,56,NA
931203,9312,1,2,2000,120,NA,5,22,41,19,NA
931204,9312,1,2,2002,120,NA,5,12,18,18,NA
936002,9360,1,2,2001,20,NA,NA,NA,NA,NA,NA
942303,9423,2,1,2001,0,NA,42,46,62,62,NA
950401,9504,2,1,2004,NA,11,90,51,57,48,140
957602,9576,1,2,2003,170,NA,90,49,57,48,NA
957603,9576,1,2,2003,70,NA,90,NA,NA,NA,NA
966201,9662,1,2,2004,100,13,90,53,56,37,116
968602,9686,2,1,2001,110,NA,23,29,37,29,NA
971101,9711,2,2,2001,60,NA,NA,NA,NA,NA,NA
971102,9711,2,1,2002,10,NA,NA,NA,NA,NA,NA
